,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
50,2015,04,04,Hero,1,36,0.212,0.292,8.3,25.0,0.33,0.121,-,0.611,3.21,3.21,2.36,4.31,0.35,0.278,-2.26
51,2015,04,04,»ï¼º,1,33,0.038,0.000,18.2,33.3,0.54,0.116,26.00,0.396,0.96,0.93,0.27,1.32,0.19,0.215,-3.97
52,2015,04,05,·Ôµ¥,1,48,0.378,0.435,22.9,20.8,1.10,0.406,9.25,1.305,14.60,15.16,14.69,-0.55,0.05,0.542,8.52
53,2015,04,05,LG,1,39,0.353,0.414,5.1,18.0,0.29,0.059,-,0.797,5.03,5.03,5.39,3.72,0.20,0.358,0.38
54,2015,04,05,SK,1,49,0.333,0.393,16.3,18.4,0.89,0.231,19.50,1.022,11.77,11.35,10.92,5.94,0.88,0.451,4.63
55,2015,04,05,NC,1,38,0.333,0.333,5.3,15.8,0.33,0.303,11.00,1.041,9.32,10.94,8.37,7.29,0.36,0.448,3.49
56,2015,04,05,KIA,1,42,0.258,0.308,21.4,11.9,1.80,0.065,-,0.748,4.78,4.78,6.06,-0.09,0.04,0.364,0.66
57,2015,04,05,Hero,1,43,0.351,0.370,7.0,20.9,0.33,0.352,12.33,1.098,11.10,11.53,9.60,3.48,0.03,0.451,4.08
58,2015,04,05,ÇÑÈ­,1,33,0.242,0.296,0.0,18.2,0.00,0.031,-,0.515,1.64,1.64,0.83,0.10,0.02,0.233,-3.41
59,2015,04,05,µÎ»ê,1,36,0.229,0.259,2.8,19.4,0.14,0.085,35.00,0.564,2.73,2.64,1.56,5.63,0.36,0.253,-3.07
60,2015,04,05,KT,1,32,0.200,0.240,6.2,15.6,0.40,0.067,-,0.517,1.33,1.33,0.98,-2.36,0.02,0.239,-3.13
61,2015,04,05,»ï¼º,1,36,0.143,0.190,19.4,22.2,0.88,0.000,-,0.449,1.85,1.85,1.22,3.81,0.36,0.243,-3.40
62,2015,04,07,Hero,1,54,0.519,0.605,3.7,18.5,0.20,0.366,13.00,1.422,24.12,25.05,19.85,5.99,0.05,0.610,12.91
63,2015,04,07,ÇÑÈ­,1,51,0.359,0.424,15.7,11.8,1.33,0.026,-,0.864,7.78,7.00,8.95,2.58,0.22,0.399,2.40
64,2015,04,07,SK,1,38,0.310,0.375,18.4,13.2,1.40,0.035,-,0.789,4.64,5.22,5.70,2.81,0.04,0.370,0.81
