,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,ÆÀ½Â,ÆÀ¹«,ÆÀÆÐ,RA/G,½ÇÁ¡,ÀÚÃ¥,ÇÇÈ¨·±,º¼³Ý%,»ïÁø%,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
83,2015,4,9,SK,1,0,0,2.0,2,2,1,0.0,22.9,0.24,90.9,2.0,0.39,3.67,3.43,0.23
84,2015,4,9,NC,1,0,0,2.0,2,2,2,5.6,13.9,0.185,112.9,2.0,0.48,6.11,6.24,-0.02
85,2015,4,9,»ï¼º,1,0,0,4.0,4,4,1,2.6,10.5,0.276,75.5,4.0,0.3,5.23,5.53,0.07
86,2015,4,9,ÇÑÈ­,1,0,0,4.0,4,4,0,20.5,12.8,0.22699999999999998,71.4,4.0,0.17,5.23,5.66,-0.04
87,2015,4,9,Hero,0,0,1,1.0,1,1,0,9.7,19.4,0.22699999999999998,87.5,1.12,0.47,3.29,3.29,0.19
88,2015,4,9,KIA,0,0,1,4.0,4,4,1,7.1,26.2,0.444,82.2,4.0,0.2,3.34,2.8,0.21
89,2015,4,9,LG,0,0,1,5.0,5,4,1,8.1,24.3,0.273,62.5,4.15,0.22,4.48,4.25,0.15
90,2015,4,9,·Ôµ¥,0,0,1,5.0,5,5,3,14.3,11.9,0.32,94.2,5.62,0.3,9.92,10.3,-0.16
91,2015,4,9,KT,0,0,1,13.0,13,13,3,17.0,21.3,0.5,55.6,14.62,-0.39,9.04,8.86,-0.15
92,2015,4,10,Hero,1,0,0,0.0,0,0,0,0.0,48.5,0.312,100.0,0.0,0.71,0.45,-0.68,0.86
93,2015,4,10,LG,1,0,0,2.0,2,2,0,14.3,14.3,0.2,80.0,2.0,0.41,4.23,4.5,0.12
94,2015,4,10,SK,1,0,0,2.0,2,2,0,6.5,29.0,0.105,60.0,2.0,0.6,2.34,2.03,0.47
95,2015,4,10,»ï¼º,1,0,0,3.0,3,3,1,10.6,27.7,0.34600000000000003,89.0,2.45,0.63,3.85,3.48,0.35
96,2015,4,10,·Ôµ¥,1,0,0,9.0,9,7,1,6.0,24.0,0.39399999999999996,51.3,5.73,0.47,3.49,3.11,0.41
97,2015,4,10,NC,0,0,1,3.0,3,3,0,13.2,13.2,0.24,76.9,3.0,0.35,4.89,5.29,0.1
98,2015,4,10,KIA,0,0,1,4.0,4,4,3,15.4,19.2,0.31,101.2,3.38,0.48,7.7,7.71,-0.15
99,2015,4,10,µÎ»ê,0,0,1,5.0,5,5,1,16.2,24.3,0.4,73.5,5.62,0.2,5.29,5.1,0.13
100,2015,4,10,KT,0,0,1,6.0,6,5,1,14.7,23.5,0.278,52.1,5.62,0.01,5.17,5.04,0.07
101,2015,4,10,ÇÑÈ­,0,0,1,10.0,10,10,2,12.0,40.0,0.4,52.6,8.44,0.06,4.61,3.7,0.38
