,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
52,2015,4,5,·Ôµ¥,1,48,0.37799999999999995,0.435,22.9,20.8,1.10,0.406,9.25,1.305,14.6,15.16,14.69,-0.55,0.05,0.542,8.52
53,2015,4,5,LG,1,39,0.353,0.414,5.1,18.0,0.29,0.059000000000000004,-,0.797,5.03,5.03,5.39,3.72,0.2,0.358,0.38
54,2015,4,5,SK,1,49,0.33299999999999996,0.39299999999999996,16.3,18.4,0.89,0.231,19.50,1.022,11.77,11.35,10.92,5.94,0.88,0.451,4.63
55,2015,4,5,NC,1,38,0.33299999999999996,0.33299999999999996,5.3,15.8,0.33,0.303,11.00,1.041,9.32,10.94,8.37,7.29,0.36,0.44799999999999995,3.49
56,2015,4,5,KIA,1,42,0.258,0.308,21.4,11.9,1.80,0.065,-,0.748,4.78,4.78,6.06,-0.09,0.04,0.364,0.66
57,2015,4,5,Hero,1,43,0.35100000000000003,0.37,7.0,20.9,0.33,0.35200000000000004,12.33,1.0979999999999999,11.1,11.53,9.6,3.48,0.03,0.451,4.08
58,2015,4,5,ÇÑÈ­,1,33,0.242,0.29600000000000004,0.0,18.2,0.00,0.031,-,0.515,1.64,1.64,0.83,0.10,0.02,0.233,-3.41
59,2015,4,5,µÎ»ê,1,36,0.22899999999999998,0.259,2.8,19.4,0.14,0.085,35.00,0.564,2.73,2.64,1.56,5.63,0.36,0.253,-3.07
60,2015,4,5,KT,1,32,0.2,0.24,6.2,15.6,0.40,0.067,-,0.517,1.33,1.33,0.98,-2.36,0.02,0.239,-3.13
61,2015,4,5,»ï¼º,1,36,0.14300000000000002,0.19,19.4,22.2,0.88,0.0,-,0.449,1.85,1.85,1.22,3.81,0.36,0.243,-3.4
