,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸¼ö,¾ÈÅ¸,´ÜÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,µæÁ¡,Å¸Á¡,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,Èñ»ýÇÃ¶óÀÌ,Èñ»ýÅ¸,º´»ì,µµ·ç,µµ½Ç,Å¸À²
86,2015,4,9,LG,1,39,27,5,5,0,0,0,4,3,8,1,1,5,0,3,3,1,0,0.185
87,2015,4,9,SK,1,47,39,16,10,3,0,3,13,13,8,0,0,10,0,0,1,0,0,0.41
88,2015,4,9,NC,1,42,38,13,8,3,1,1,4,4,3,1,0,11,1,1,0,4,0,0.342
89,2015,4,9,µÎ»ê,1,31,28,5,5,0,0,0,1,1,3,0,0,6,0,0,1,3,0,0.179
90,2015,4,9,KIA,1,36,34,7,5,0,0,2,2,2,2,0,0,5,0,0,1,1,0,0.20600000000000002
91,2015,4,9,Hero,1,30,27,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0.0
92,2015,4,10,·Ôµ¥,1,50,42,10,5,3,0,2,10,10,6,0,2,20,0,0,0,2,0,0.23800000000000002
93,2015,4,10,SK,1,38,29,6,6,0,0,0,3,3,5,0,2,5,1,2,1,0,0,0.207
94,2015,4,10,»ï¼º,1,52,42,12,6,2,1,3,4,4,8,1,1,10,0,1,0,1,0,0.28600000000000003
95,2015,4,10,KIA,1,47,40,10,6,3,0,1,3,3,5,1,1,13,0,1,1,0,0,0.25
96,2015,4,10,KT,1,33,32,5,5,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0.156
97,2015,4,10,NC,1,31,28,2,1,1,0,0,2,2,2,1,1,9,0,0,1,0,0,0.071
98,2015,4,10,LG,1,37,30,9,6,2,0,1,5,5,6,0,0,9,0,1,0,0,0,0.3
99,2015,4,10,Hero,1,34,27,6,4,1,0,1,6,6,5,0,0,8,0,2,0,0,0,0.222
100,2015,4,10,ÇÑÈ­,1,50,45,14,10,3,0,1,9,8,3,0,0,12,1,2,2,0,0,0.311
101,2015,4,10,µÎ»ê,1,35,30,5,4,1,0,0,2,1,5,0,0,5,0,0,2,2,0,0.16699999999999998
102,2015,4,11,LG,1,38,33,10,7,1,0,2,6,6,2,0,2,5,0,1,2,1,0,0.303
103,2015,4,11,µÎ»ê,1,46,40,12,8,2,1,1,9,9,4,0,1,4,1,1,0,2,0,0.3
104,2015,4,11,KT,1,44,37,10,8,1,1,0,6,6,5,0,1,6,0,1,0,1,0,0.27
105,2015,4,11,NC,1,36,27,5,5,0,0,0,4,2,6,1,1,3,1,2,0,1,0,0.185
106,2015,4,11,»ï¼º,1,37,32,10,6,2,0,2,5,5,5,0,0,7,0,0,1,2,0,0.313
107,2015,4,11,ÇÑÈ­,1,38,34,8,5,1,0,2,4,4,3,0,0,6,0,1,1,2,0,0.235
108,2015,4,11,Hero,1,38,35,9,9,0,0,0,4,4,3,0,0,12,0,0,0,0,0,0.257
109,2015,4,11,KIA,1,33,32,6,5,1,0,0,2,2,1,0,0,11,0,0,1,0,0,0.188
110,2015,4,11,SK,1,34,32,6,4,2,0,0,2,2,2,0,0,7,0,0,1,0,0,0.188
111,2015,4,11,·Ôµ¥,1,35,29,3,2,1,0,0,1,0,6,0,0,8,0,0,1,1,0,0.10300000000000001
112,2015,4,12,·Ôµ¥,1,51,38,14,10,2,0,2,15,15,9,0,4,5,0,0,0,2,0,0.368
113,2015,4,12,SK,1,44,38,11,4,5,0,2,11,9,3,0,2,6,1,1,0,0,0,0.289
114,2015,4,12,KT,1,38,31,6,4,1,0,1,5,5,4,0,1,9,0,2,0,1,0,0.19399999999999998
115,2015,4,12,Hero,1,37,30,7,6,0,0,1,3,3,6,0,1,5,0,0,4,0,0,0.233
116,2015,4,12,KIA,1,40,36,10,5,1,0,4,9,9,2,0,0,4,1,2,0,1,0,0.278
117,2015,4,12,LG,1,32,27,6,4,1,0,1,3,3,4,0,0,5,0,1,2,0,0,0.222
118,2015,4,12,µÎ»ê,1,37,31,9,6,3,0,0,2,2,5,0,0,4,0,1,2,0,0,0.29
119,2015,4,12,»ï¼º,1,38,36,9,4,2,1,2,7,7,2,1,0,8,0,0,0,0,0,0.25
120,2015,4,12,NC,1,39,36,9,5,2,0,2,8,7,3,0,0,10,0,0,0,0,0,0.25
121,2015,4,12,ÇÑÈ­,1,35,32,5,2,0,0,3,3,3,3,0,0,11,0,0,0,0,0,0.156
122,2015,4,14,µÎ»ê,1,53,44,22,10,7,0,5,18,18,6,0,1,6,1,2,2,0,0,0.5
123,2015,4,14,ÇÑÈ­,1,36,33,12,6,2,2,2,5,5,1,0,1,7,0,1,0,0,0,0.364
124,2015,4,14,·Ôµ¥,1,35,28,7,5,0,0,2,5,5,6,0,1,8,0,0,1,2,0,0.25
125,2015,4,14,NC,1,41,36,9,6,3,0,0,4,4,4,0,1,13,0,0,1,2,0,0.25
126,2015,4,14,KT,1,38,28,4,3,1,0,0,2,0,8,0,1,4,0,1,2,2,0,0.14300000000000002
127,2015,4,14,»ï¼º,1,40,36,11,9,1,0,1,3,3,3,1,0,5,0,1,1,0,0,0.306
128,2015,4,15,µÎ»ê,1,58,45,12,10,2,0,0,7,7,10,1,2,8,1,1,3,0,0,0.267
129,2015,4,15,KIA,1,44,40,16,12,4,0,0,9,8,2,0,1,6,0,1,0,0,0,0.4
130,2015,4,15,Hero,1,40,36,8,5,2,0,1,6,6,3,1,1,9,0,0,0,1,0,0.222
131,2015,4,15,ÇÑÈ­,1,38,36,9,7,2,0,0,3,3,1,0,1,7,0,0,1,0,0,0.25
132,2015,4,15,KT,1,57,43,9,4,3,0,2,6,6,11,1,1,13,1,2,0,2,0,0.209
133,2015,4,15,»ï¼º,1,43,39,14,10,2,0,2,8,8,3,1,0,9,1,1,1,3,0,0.359
134,2015,4,15,·Ôµ¥,1,37,29,8,5,2,0,1,6,6,6,0,0,9,0,2,1,0,0,0.276
135,2015,4,15,SK,1,37,35,9,6,1,0,2,4,4,2,0,0,11,0,0,0,1,0,0.257
136,2015,4,15,LG,1,37,32,8,5,2,1,0,4,4,5,0,0,5,0,0,3,0,0,0.25
137,2015,4,15,NC,1,34,30,3,2,1,0,0,0,0,4,0,0,8,0,0,0,3,0,0.1
138,2015,4,16,SK,1,43,32,10,8,1,0,1,10,9,8,0,2,8,1,1,1,1,0,0.313
139,2015,4,16,LG,1,45,29,6,4,0,0,2,10,9,13,0,1,10,1,2,0,3,0,0.207
140,2015,4,16,Hero,1,30,27,1,1,0,0,0,0,0,1,0,1,7,0,1,0,0,0,0.037000000000000005
141,2015,4,16,NC,1,41,37,15,12,3,0,0,8,7,1,1,0,9,1,3,1,0,0,0.405
142,2015,4,16,KIA,1,44,37,14,12,2,0,0,5,4,6,0,0,9,1,1,1,0,0,0.37799999999999995
143,2015,4,16,·Ôµ¥,1,36,31,6,4,0,0,2,3,3,5,0,0,7,0,0,2,3,0,0.19399999999999998
144,2015,4,17,NC,1,40,33,7,4,1,0,2,6,5,2,0,4,7,1,1,0,0,0,0.212
145,2015,4,17,LG,1,38,34,9,4,1,0,4,6,5,1,0,2,8,0,1,1,0,0,0.265
146,2015,4,17,Hero,1,39,31,8,4,4,0,0,4,4,5,0,2,7,0,1,0,1,0,0.258
147,2015,4,17,SK,1,35,31,8,8,0,0,0,1,1,2,0,2,8,0,0,2,0,0,0.258
148,2015,4,17,µÎ»ê,1,44,39,15,11,3,0,1,12,12,4,0,1,6,0,0,0,0,0,0.385
149,2015,4,17,»ï¼º,1,38,31,8,6,1,0,1,6,6,6,0,1,6,0,0,0,4,0,0.258
150,2015,4,17,KT,1,37,34,7,5,2,0,0,1,1,2,0,1,9,0,0,0,2,0,0.20600000000000002
151,2015,4,17,ÇÑÈ­,1,41,35,14,9,3,1,1,10,10,3,0,0,5,2,3,0,0,0,0.4
152,2015,4,17,KIA,1,39,32,6,6,0,0,0,3,3,6,0,0,8,0,1,0,0,0,0.188
153,2015,4,17,·Ôµ¥,1,33,29,4,2,1,0,1,1,1,4,0,0,7,0,0,2,0,0,0.138
154,2015,4,18,ÇÑÈ­,1,42,26,8,4,3,0,1,8,8,5,1,4,3,2,6,0,1,0,0.308
155,2015,4,18,SK,1,38,36,14,8,4,0,2,8,8,1,0,1,6,0,0,1,1,0,0.389
156,2015,4,18,Hero,1,40,35,10,5,4,0,1,5,5,3,0,1,9,0,1,0,0,0,0.28600000000000003
157,2015,4,18,»ï¼º,1,38,30,8,4,3,0,1,3,3,6,1,1,3,0,1,0,1,0,0.267
158,2015,4,18,µÎ»ê,1,34,31,8,5,2,0,1,7,7,1,0,1,6,1,1,0,0,0,0.258
159,2015,4,18,·Ôµ¥,1,41,36,13,11,1,1,0,5,4,2,0,1,11,1,2,0,1,0,0.361
160,2015,4,18,NC,1,38,36,12,10,1,0,1,6,6,1,0,0,5,1,1,0,1,0,0.33299999999999996
161,2015,4,18,KIA,1,35,33,7,5,1,1,0,1,0,2,0,0,10,0,0,2,0,0,0.212
162,2015,4,18,LG,1,36,33,6,3,2,0,1,4,3,3,0,0,8,0,0,0,0,0,0.182
163,2015,4,18,KT,1,33,29,4,3,1,0,0,1,1,4,0,0,9,0,0,1,2,0,0.138
164,2015,4,19,Hero,1,50,48,22,8,10,1,3,15,15,1,0,0,9,0,1,0,0,0,0.45799999999999996
165,2015,4,19,KIA,1,37,35,8,6,1,0,1,4,3,2,0,0,10,0,0,1,1,0,0.22899999999999998
166,2015,4,21,Hero,1,46,39,14,11,0,0,3,12,12,3,0,1,15,1,1,0,0,0,0.359
167,2015,4,21,»ï¼º,1,40,32,10,8,1,0,1,5,5,5,0,1,3,1,2,3,0,0,0.313
168,2015,4,21,SK,1,45,37,10,8,2,0,0,9,9,7,0,1,8,0,0,1,1,0,0.27
169,2015,4,21,ÇÑÈ­,1,33,31,4,4,0,0,0,0,0,1,0,1,9,0,0,0,1,0,0.129
170,2015,4,21,LG,1,42,33,11,10,1,0,0,10,9,7,1,0,3,1,2,0,3,0,0.33299999999999996
171,2015,4,21,KIA,1,31,29,7,5,2,0,0,3,3,1,0,0,7,0,1,0,0,0,0.24100000000000002
172,2015,4,21,KT,1,40,35,9,7,2,0,0,3,3,5,0,0,10,0,0,1,1,0,0.257
173,2015,4,21,·Ôµ¥,1,38,30,6,5,1,0,0,2,2,6,0,0,8,0,2,1,1,0,0.2
174,2015,4,21,µÎ»ê,1,35,33,6,4,2,0,0,0,0,2,0,0,9,0,0,0,0,0,0.182
175,2015,4,21,NC,1,30,30,2,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0.067
176,2015,4,22,µÎ»ê,1,43,38,15,6,3,1,5,12,11,3,0,1,7,0,1,0,1,0,0.395
177,2015,4,22,KT,1,34,28,7,3,3,0,1,2,1,5,0,1,11,0,0,0,1,0,0.25
178,2015,4,22,·Ôµ¥,1,37,33,7,3,2,0,2,7,7,3,0,1,6,0,0,0,1,0,0.212
179,2015,4,22,KIA,1,44,38,13,10,3,0,0,6,5,4,0,1,6,0,1,1,0,0,0.342
180,2015,4,22,Hero,1,43,39,13,8,2,0,3,9,9,2,0,1,9,0,1,1,0,0,0.33299999999999996
181,2015,4,22,»ï¼º,1,41,34,9,4,2,1,2,6,6,6,0,0,8,1,1,0,0,0,0.265
182,2015,4,22,ÇÑÈ­,1,37,28,5,4,0,0,1,5,5,5,0,0,8,1,4,0,3,0,0.179
183,2015,4,22,LG,1,38,34,9,6,2,0,1,2,2,4,0,0,8,0,0,2,1,0,0.265
184,2015,4,22,SK,1,38,33,8,8,0,0,0,0,0,4,0,0,10,0,1,1,1,0,0.242
185,2015,4,22,NC,1,35,32,6,5,0,0,1,2,2,3,0,0,11,0,0,1,4,0,0.188
186,2015,4,23,·Ôµ¥,1,40,35,10,7,1,0,2,6,6,3,0,2,1,0,0,2,2,0,0.28600000000000003
187,2015,4,23,KIA,1,45,38,14,11,2,0,1,7,7,6,2,1,11,0,0,2,0,0,0.368
188,2015,4,23,µÎ»ê,1,41,33,9,6,1,0,2,7,7,6,0,1,5,1,1,1,1,0,0.273
189,2015,4,23,ÇÑÈ­,1,38,33,6,4,1,0,1,2,2,4,0,1,8,0,0,1,1,0,0.182
190,2015,4,23,»ï¼º,1,46,40,15,8,6,0,1,14,14,4,0,0,7,2,2,0,2,0,0.375
191,2015,4,23,LG,1,41,34,12,10,2,0,0,5,3,5,0,0,4,0,2,0,2,0,0.353
192,2015,4,23,SK,1,40,33,7,6,1,0,0,3,3,6,1,0,7,0,1,1,1,0,0.212
193,2015,4,23,Hero,1,40,31,9,6,3,0,0,5,5,6,0,0,10,1,3,0,0,0,0.29
194,2015,4,23,NC,1,39,34,9,6,3,0,0,4,4,4,0,0,5,0,0,1,0,0,0.265
195,2015,4,23,KT,1,34,33,7,5,1,0,1,2,2,1,0,0,8,0,0,1,1,0,0.212
196,2015,4,24,NC,1,41,37,13,6,3,1,3,11,10,0,0,2,5,1,2,1,1,0,0.35100000000000003
197,2015,4,24,µÎ»ê,1,40,35,12,9,2,1,0,7,7,2,0,2,7,1,1,0,0,0,0.34299999999999997
198,2015,4,24,Hero,1,46,39,12,7,2,0,3,9,7,6,0,1,8,0,0,1,1,0,0.308
199,2015,4,24,KT,1,36,34,7,4,2,1,0,2,1,1,0,1,11,0,0,0,1,0,0.20600000000000002
200,2015,4,24,SK,1,39,30,6,5,1,0,0,0,0,7,0,1,11,0,1,1,0,0,0.2
201,2015,4,24,KIA,1,39,34,6,4,2,0,0,3,3,4,0,1,9,0,0,1,0,0,0.17600000000000002
202,2015,4,24,·Ôµ¥,1,33,29,8,4,2,0,2,5,5,2,0,0,10,2,2,0,0,0,0.276
203,2015,4,24,ÇÑÈ­,1,29,26,7,4,2,0,1,2,2,2,0,0,4,0,1,1,0,0,0.26899999999999996
204,2015,4,24,»ï¼º,1,31,30,6,3,2,0,1,3,2,1,0,0,9,0,0,2,1,0,0.2
205,2015,4,24,LG,1,35,35,7,5,1,0,1,3,2,0,0,0,6,0,0,0,0,0,0.2
206,2015,4,25,LG,1,40,33,7,5,1,0,1,6,6,5,0,2,9,0,0,0,3,0,0.212
207,2015,4,25,SK,1,43,32,9,8,0,0,1,6,6,6,0,2,6,1,3,1,1,0,0.281
208,2015,4,25,ÇÑÈ­,1,41,37,11,11,0,0,0,7,6,2,0,1,7,0,1,0,1,0,0.297
209,2015,4,25,NC,1,35,33,8,4,3,0,1,2,2,1,0,1,6,0,0,1,0,0,0.242
210,2015,4,25,·Ôµ¥,1,42,34,13,4,3,1,5,12,12,7,0,0,6,0,1,2,0,0,0.382
211,2015,4,25,Hero,1,35,32,9,5,2,0,2,3,3,3,0,0,9,0,0,2,0,0,0.281
212,2015,4,25,KIA,1,43,34,7,5,1,0,1,5,5,7,0,0,9,0,2,0,1,0,0.20600000000000002
213,2015,4,25,»ï¼º,1,46,42,14,10,1,0,3,9,7,3,0,0,5,1,1,0,0,0,0.33299999999999996
214,2015,4,25,µÎ»ê,1,44,36,11,6,4,0,1,4,4,5,2,0,6,1,3,2,1,0,0.306
215,2015,4,25,KT,1,32,29,4,3,1,0,0,0,0,3,0,0,7,0,0,1,0,0,0.138
216,2015,4,26,Hero,1,44,35,11,8,1,0,2,11,11,7,0,1,6,1,1,0,0,0,0.314
217,2015,4,26,NC,1,39,37,11,6,4,0,1,6,6,1,0,1,13,0,0,0,2,0,0.297
218,2015,4,26,·Ôµ¥,1,35,34,11,8,2,0,1,7,7,1,0,0,9,0,0,0,0,0,0.324
219,2015,4,26,ÇÑÈ­,1,37,29,8,7,1,0,0,5,4,4,1,0,2,0,3,0,0,0,0.276
220,2015,4,26,LG,1,42,37,10,5,4,0,1,7,6,4,0,0,10,0,1,0,2,0,0.27
221,2015,4,26,µÎ»ê,1,51,43,11,9,1,1,0,4,4,6,2,0,3,2,2,1,1,0,0.256
222,2015,4,26,SK,1,38,38,11,8,2,0,1,4,4,0,0,0,5,0,0,0,0,0,0.289
223,2015,4,26,KT,1,39,35,7,5,1,1,0,4,4,4,0,0,10,0,0,1,0,0,0.2
224,2015,4,26,KIA,1,45,40,5,4,1,0,0,3,3,5,0,0,13,0,0,0,2,0,0.125
225,2015,4,26,»ï¼º,1,30,28,3,1,2,0,0,1,1,2,0,0,6,0,0,1,0,0,0.107
226,2015,4,28,Hero,1,37,33,11,5,4,0,2,8,8,2,0,1,4,1,1,0,0,0,0.33299999999999996
227,2015,4,28,LG,1,42,35,10,8,1,0,1,7,6,4,0,1,14,0,2,1,0,0,0.28600000000000003
228,2015,4,28,·Ôµ¥,1,39,31,8,6,2,0,0,4,4,5,0,1,10,0,1,0,0,0,0.258
229,2015,4,28,NC,1,42,38,14,12,1,0,1,8,8,3,0,0,3,1,1,1,1,0,0.368
