,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
79,2015,04,08,·Ôµ¥,1,0,0,0,9.00,2.25,1.12,4.00,0.179,0.226,0.286,0.512,0.88,0.200,53.6,4.50,0.17,4.05,3.74,0.15
80,2015,04,08,Hero,1,0,0,0,7.88,4.50,1.12,1.75,0.333,0.405,0.515,0.921,1.88,0.400,44.1,10.12,-0.24,5.05,4.99,0.04
81,2015,04,08,KIA,1,0,0,0,5.00,7.00,3.00,0.71,0.368,0.510,0.684,1.194,2.33,0.367,57.7,13.00,-0.37,10.56,11.21,-0.33
82,2015,04,09,µÎ»ê,1,1,1,1,8.00,3.00,0.00,2.67,0.000,0.100,0.000,0.100,0.33,0.000,100.0,0.00,0.88,2.89,2.73,0.38
83,2015,04,09,NC,1,0,0,0,5.00,2.00,2.00,2.50,0.206,0.250,0.382,0.632,1.00,0.185,112.9,2.00,0.48,6.12,6.24,-0.02
84,2015,04,09,SK,1,0,0,0,8.00,0.00,1.00,-,0.206,0.229,0.324,0.552,0.78,0.240,90.9,2.00,0.39,3.67,3.42,0.23
85,2015,04,09,ÇÑÈ­,1,0,0,0,5.00,8.00,0.00,0.62,0.185,0.389,0.185,0.574,1.44,0.227,71.4,4.00,0.17,5.23,5.67,-0.04
86,2015,04,09,»ï¼º,1,1,0,0,4.00,1.00,1.00,4.00,0.265,0.324,0.412,0.736,1.11,0.276,75.5,4.00,0.30,5.23,5.53,0.07
87,2015,04,09,Hero,1,1,0,0,6.75,3.38,0.00,2.00,0.179,0.258,0.179,0.437,1.00,0.227,87.5,1.12,0.47,3.30,3.29,0.19
88,2015,04,09,KIA,1,0,0,0,11.00,3.00,1.00,3.67,0.342,0.381,0.553,0.934,1.78,0.444,82.2,4.00,0.20,3.34,2.80,0.21
89,2015,04,09,LG,1,0,0,0,9.35,3.12,1.04,3.00,0.219,0.306,0.406,0.712,1.15,0.273,62.5,4.15,0.22,4.48,4.25,0.15
90,2015,04,09,·Ôµ¥,1,0,0,0,5.62,6.75,3.38,0.83,0.333,0.450,0.606,1.056,2.12,0.320,94.2,5.62,0.30,9.92,10.31,-0.16
91,2015,04,09,KT,1,0,0,0,11.25,9.00,3.38,1.25,0.410,0.511,0.718,1.229,3.00,0.500,55.6,14.62,-0.39,9.05,8.87,-0.15
92,2015,04,10,Hero,1,1,0,0,16.00,0.00,0.00,-,0.156,0.182,0.156,0.338,0.56,0.312,100.0,0.00,0.71,0.45,-0.68,0.86
93,2015,04,10,LG,1,1,0,0,5.00,5.00,0.00,1.00,0.167,0.286,0.200,0.486,1.11,0.200,80.0,2.00,0.41,4.23,4.50,0.12
94,2015,04,10,SK,1,1,0,0,9.00,2.00,0.00,4.50,0.071,0.161,0.107,0.268,0.44,0.105,60.0,2.00,0.60,2.34,2.03,0.47
95,2015,04,10,»ï¼º,1,1,0,0,10.64,4.09,0.82,2.60,0.250,0.348,0.400,0.748,1.36,0.346,89.0,2.45,0.63,3.85,3.48,0.35
96,2015,04,10,·Ôµ¥,1,0,0,0,9.82,2.45,0.82,4.00,0.311,0.347,0.444,0.791,1.55,0.394,51.3,5.73,0.47,3.49,3.11,0.41
97,2015,04,10,NC,1,1,0,0,5.00,5.00,0.00,1.00,0.207,0.351,0.207,0.558,1.22,0.240,76.9,3.00,0.35,4.89,5.29,0.10
98,2015,04,10,KIA,1,0,0,0,8.44,6.75,2.53,1.25,0.286,0.412,0.595,1.007,1.88,0.310,101.2,3.38,0.48,7.70,7.72,-0.15
99,2015,04,10,µÎ»ê,1,0,0,0,10.12,6.75,1.12,1.50,0.300,0.417,0.467,0.883,1.88,0.400,73.5,5.62,0.20,5.30,5.11,0.13
100,2015,04,10,KT,1,1,0,0,9.00,5.62,1.12,1.60,0.222,0.344,0.370,0.714,1.38,0.278,52.1,5.62,0.01,5.17,5.05,0.07
101,2015,04,10,ÇÑÈ­,1,0,0,0,16.88,5.06,1.69,3.33,0.238,0.360,0.452,0.812,1.50,0.400,52.6,8.44,0.06,4.61,3.70,0.38
102,2015,04,11,ÇÑÈ­,1,1,0,0,8.00,6.00,0.00,1.33,0.103,0.257,0.138,0.395,1.00,0.143,88.9,0.00,0.57,3.89,3.89,0.20
103,2015,04,11,NC,1,1,0,0,7.00,2.00,0.00,3.50,0.188,0.235,0.250,0.485,0.89,0.240,75.0,2.00,0.55,2.78,2.68,0.41
104,2015,04,11,»ï¼º,1,1,0,0,11.00,1.00,0.00,11.00,0.188,0.212,0.219,0.431,0.78,0.286,71.4,2.00,0.43,1.56,0.97,0.50
105,2015,04,11,KT,1,1,0,0,12.00,3.00,0.00,4.00,0.257,0.316,0.257,0.573,1.33,0.391,66.7,4.00,0.39,2.00,1.41,0.38
106,2015,04,11,µÎ»ê,1,1,0,0,5.00,2.00,2.00,2.50,0.303,0.378,0.515,0.894,1.33,0.308,71.4,5.00,0.15,6.78,7.04,-0.02
107,2015,04,11,SK,1,0,0,0,3.38,6.75,0.00,0.50,0.185,0.343,0.185,0.528,1.38,0.200,66.7,2.25,0.13,5.17,5.73,0.01
108,2015,04,11,·Ôµ¥,1,1,0,0,6.00,3.00,2.00,2.00,0.235,0.297,0.441,0.738,1.22,0.231,85.4,4.00,0.21,6.23,6.30,-0.04
109,2015,04,11,KIA,1,0,0,0,7.88,5.62,2.25,1.40,0.312,0.405,0.562,0.968,1.88,0.348,82.0,5.62,0.02,7.05,7.05,-0.09
110,2015,04,11,Hero,1,0,0,0,6.00,5.00,0.00,1.20,0.270,0.372,0.351,0.723,1.67,0.323,62.5,6.00,0.07,4.34,4.56,0.08
111,2015,04,11,LG,1,0,0,0,4.00,4.00,1.00,1.00,0.300,0.370,0.475,0.845,1.78,0.306,51.3,6.00,-0.14,5.89,6.29,0.01
