,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,½Â,ÆÐ,¼¼ÀÌºê,È¦µå,ºí·Ð,QS,ÀÌ´×,Å¸ÀÚ,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,½ÇÁ¡,ÀÚÃ¥,»ïÁø,º¼³Ý,°íÀÇ4±¸,»ç±¸,ÆøÅõ,º¸Å©,PK,µµ·ç,µµ½Ç
16,2015,03,29,Hero,1,0,1,0,0,0,0,9.0,41,9,2,0,1,5,5,9,6,0,2,0,0,0,2,2
17,2015,03,29,KT,1,0,1,0,0,0,0,8.0,39,6,1,0,2,5,5,8,9,0,1,1,0,0,2,1
18,2015,03,29,»ï¼º,1,0,1,0,0,0,0,9.0,40,9,2,0,1,7,7,5,4,0,0,0,0,0,1,0
19,2015,03,29,LG,1,0,1,0,2,1,0,8.0,39,9,1,0,3,7,7,2,6,0,1,0,0,0,0,0
20,2015,03,31,·Ôµ¥,1,1,0,0,0,0,1,7.0,29,6,1,0,0,1,1,5,3,0,0,0,0,0,0,2
21,2015,03,31,»ï¼º,1,1,0,1,2,0,0,9.0,39,7,4,0,0,6,6,8,5,0,1,0,0,1,0,2
22,2015,03,31,KT,1,0,1,0,0,0,0,9.0,43,15,5,0,2,8,7,6,1,0,0,0,0,0,2,1
23,2015,03,31,LG,1,0,1,0,0,0,0,7.2,38,10,1,0,1,7,7,12,5,1,0,0,0,0,0,0
24,2015,04,01,KIA,1,1,0,1,2,0,1,9.0,31,4,0,0,0,0,0,10,3,0,0,1,0,1,0,1
25,2015,04,01,LG,1,1,0,0,0,0,0,10.0,41,8,1,1,1,2,1,9,3,0,0,1,0,0,1,0
26,2015,04,01,NC,1,1,0,0,1,0,1,9.0,34,6,1,0,0,3,1,6,1,0,1,1,0,0,0,0
27,2015,04,01,»ï¼º,1,1,0,0,0,0,1,9.0,39,10,2,0,0,1,1,15,1,0,0,0,0,0,1,0
28,2015,04,01,µÎ»ê,1,1,0,1,0,0,1,9.0,36,7,0,0,0,3,2,9,2,0,0,0,0,0,0,0
29,2015,04,01,SK,1,0,1,0,0,0,0,9.0,37,5,1,0,0,3,2,12,5,0,0,1,0,0,0,1
30,2015,04,01,·Ôµ¥,1,0,1,0,0,0,0,9.2,43,9,1,0,0,3,3,8,8,1,0,0,0,0,0,0
31,2015,04,01,KT,1,0,1,0,0,0,0,9.0,37,9,1,1,1,5,5,4,4,0,0,0,0,1,1,0
32,2015,04,01,ÇÑÈ­,1,0,1,0,0,0,0,9.0,44,8,3,0,2,6,6,6,10,0,0,2,0,0,1,0
33,2015,04,01,Hero,1,0,1,0,0,0,0,8.0,45,18,3,0,3,10,7,6,1,0,1,0,1,1,1,0
34,2015,04,02,ÇÑÈ­,1,1,0,1,2,0,0,9.0,35,5,0,0,0,2,0,10,2,0,1,0,0,0,0,0
35,2015,04,02,µÎ»ê,1,0,1,0,0,0,0,8.0,40,7,1,0,0,4,4,11,11,0,0,1,0,0,0,0
36,2015,04,03,·Ôµ¥,1,1,0,0,0,0,1,9.0,32,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0
37,2015,04,03,KIA,1,1,0,0,0,0,1,9.0,35,5,1,1,0,0,0,9,4,0,1,1,0,0,0,1
38,2015,04,03,»ï¼º,1,1,0,0,0,1,1,10.0,43,7,4,0,0,3,1,8,3,1,3,0,0,0,0,0
39,2015,04,03,Hero,1,1,0,0,0,0,1,9.0,36,6,2,0,2,3,3,13,4,0,0,0,0,0,0,0
40,2015,04,03,NC,1,1,0,0,2,0,0,9.0,39,8,3,0,1,6,6,8,2,0,4,0,0,0,0,2
41,2015,04,03,KT,1,0,1,0,0,0,0,9.0,41,12,2,0,2,5,5,8,6,0,0,2,0,1,0,1
42,2015,04,03,µÎ»ê,1,0,1,0,0,0,1,8.0,34,8,2,2,1,5,5,8,3,0,0,0,0,0,0,1
43,2015,04,03,LG,1,0,1,0,0,0,1,10.0,40,9,2,0,2,7,7,3,2,1,0,0,0,0,0,0
44,2015,04,03,ÇÑÈ­,1,0,1,0,0,0,0,8.0,43,11,0,0,1,11,10,5,7,0,1,3,0,0,4,0
45,2015,04,03,SK,1,0,1,0,0,0,0,8.0,46,16,5,0,3,14,14,8,6,0,1,0,1,0,1,0
