,¿¬µµ,ÆÀ¸í,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´çÃâ·çÇã¿ë·ü
139,2014,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
140,2015,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
141,2015,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
142,2015,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
143,2015,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
144,2015,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
145,2015,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
146,2015,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
147,2015,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
148,2015,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
149,2015,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
150,2016,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
151,2016,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
152,2016,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
153,2016,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
154,2016,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
155,2016,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
156,2016,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
157,2016,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
158,2016,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
159,2016,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
160,2017,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
161,2017,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
162,2017,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
163,2017,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
164,2017,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
165,2017,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
166,2017,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
167,2017,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
168,2017,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
169,2017,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
170,2018,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
171,2018,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
172,2018,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
173,2018,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
