,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
332,2015,지석훈,NC,유격수,18,6,56.66666666666666,1,0,5,22,7,0.9640000000000001,0,0,0,0.0,0.267,466,415,53,111,15,0,11,159,46,9,3
341,2015,노진혁,NC,유격수,41,1,81.0,1,0,10,22,7,0.97,0,0,0,0.0,0.079,42,38,4,3,2,0,0,5,2,1,1
359,2015,김성현,SK,유격수,128,116,991.6666666666665,22,0,164,320,74,0.9570000000000001,0,0,0,0.0,0.297,449,397,49,118,20,0,8,162,48,12,2
368,2015,나주환,SK,유격수,13,8,83.33333333333333,2,0,13,26,7,0.951,0,0,0,0.0,0.268,273,246,31,66,15,0,5,96,22,12,1
381,2015,박진만,SK,유격수,29,16,146.0,0,0,21,39,10,1.0,0,0,0,0.0,0.248,162,133,12,33,5,0,2,44,14,2,0
387,2015,김연훈,SK,유격수,10,4,41.0,1,0,5,10,1,0.938,0,0,0,0.0,0.267,73,60,4,16,1,0,1,20,3,5,1
398,2016,김하성,키움,유격수,143,141,1203.0,21,0,162,407,78,0.9640000000000001,0,0,0,0.0,0.281,599,526,92,148,29,7,20,251,84,2,5
424,2016,김지수,키움,유격수,20,3,77.33333333333333,0,0,13,31,4,1.0,0,0,0,0.0,0.28600000000000003,106,91,16,26,5,0,3,40,9,4,1
438,2016,김재호,두산,유격수,137,129,1065.0,10,0,209,407,90,0.9840000000000001,0,0,0,0.0,0.31,496,416,69,129,27,3,7,183,78,5,13
453,2016,류지혁,두산,유격수,36,11,155.0,1,0,23,70,9,0.9890000000000001,0,0,0,0.0,0.28800000000000003,134,118,34,34,5,0,3,48,9,2,1
464,2016,서예일,두산,유격수,17,1,37.66666666666666,1,0,7,15,4,0.9570000000000001,0,0,0,0.0,0.105,21,19,3,2,0,0,0,2,0,0,0
473,2016,이원석,두산,유격수,3,2,20.0,2,0,5,7,4,0.857,0,0,0,0.0,0.316,22,19,3,6,3,0,2,15,7,0,1
479,2016,문규현,롯데,유격수,109,92,781.6666666666665,7,0,138,288,61,0.9840000000000001,0,0,0,0.0,0.272,368,316,38,86,10,0,4,108,40,19,2
