,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
647,2016,이해창,KT,포수,85,66,575.3333333333334,8,0,476,48,6,0.985,7,35,31,47.0,0.203,254,231,16,47,10,0,6,75,22,8,3
649,2016,김종민,KT,포수,77,61,523.3333333333334,6,0,387,31,3,0.986,0,59,15,20.3,0.244,217,180,17,44,3,0,0,47,20,10,3
661,2016,윤요섭,KT,포수,33,17,174.33333333333337,3,0,150,9,2,0.981,4,21,2,8.7,0.23800000000000002,149,126,14,30,6,0,6,54,16,0,0
681,2016,유강남,LG,포수,100,76,658.0,5,1,479,51,4,0.991,3,39,24,38.1,0.266,297,263,28,70,7,0,8,101,47,4,6
690,2016,정상호,LG,포수,72,39,367.66666666666674,3,2,274,27,4,0.99,2,26,10,27.8,0.182,159,132,12,24,5,0,1,32,10,4,2
705,2016,최경철,LG,포수,29,11,125.33333333333331,2,1,105,9,1,0.983,1,4,5,55.6,0.156,52,45,3,7,2,0,0,9,2,2,0
709,2016,박재욱,LG,포수,26,18,130.66666666666666,2,0,79,13,0,0.9790000000000001,3,11,5,31.3,0.255,50,47,5,12,2,0,0,14,4,1,0
718,2016,김태군,NC,포수,134,121,935.6666666666665,0,2,859,76,8,1.0,3,57,31,35.2,0.23199999999999998,395,340,37,79,15,0,1,97,30,20,4
726,2016,용덕한,NC,포수,87,23,310.6666666666667,1,1,293,19,4,0.997,0,13,8,38.1,0.212,116,104,16,22,3,0,2,31,7,2,1
742,2016,박광열,NC,포수,12,0,37.0,2,0,28,1,0,0.935,0,0,1,100.0,0.4,15,15,0,6,0,0,0,6,0,0,0
758,2016,이재원,SK,포수,116,111,896.3333333333335,8,2,689,69,6,0.99,2,78,41,34.5,0.29,472,411,49,119,15,0,15,179,64,2,7
765,2016,김민식,SK,포수,75,33,359.0,7,0,263,23,2,0.976,2,26,15,36.6,0.257,170,144,17,37,9,0,2,52,14,3,0
792,2016,이현석,SK,포수,9,0,17.666666666666668,0,0,18,0,0,1.0,0,1,0,0.0,0.182,11,11,1,2,0,0,0,2,0,0,0
802,2017,박동원,키움,포수,99,77,651.0,8,3,527,48,5,0.986,5,37,20,35.1,0.27,284,256,33,69,9,0,11,111,39,6,2
803,2017,김재현,키움,포수,70,25,276.6666666666667,1,0,223,25,2,0.996,1,19,14,42.4,0.16699999999999998,88,84,6,14,2,0,2,22,6,0,0
804,2017,주효상,키움,포수,63,42,342.0,2,0,266,15,2,0.993,2,16,3,15.8,0.195,129,118,10,23,5,0,1,31,9,0,0
842,2017,양의지,두산,포수,98,91,744.0,5,2,596,38,6,0.992,3,36,17,32.1,0.27699999999999997,406,347,47,96,15,0,14,153,67,1,3
844,2017,박세혁,두산,포수,89,51,520.0,2,2,394,31,6,0.995,2,28,12,30.0,0.284,237,201,41,57,8,0,5,80,26,8,4
872,2017,박유연,두산,포수,3,0,5.0,0,0,1,0,0,1.0,0,0,0,0.0,0.33299999999999996,3,3,0,1,0,0,0,1,0,0,0
874,2017,강민호,롯데,포수,129,120,1032.6666666666667,11,4,904,77,15,0.9890000000000001,9,71,31,30.4,0.285,515,456,62,130,22,1,22,220,68,0,3
