,X1,Y1,Z1,X2,Y2,Z2
110,0.010986,-0.035156,1.078613,-0.015686,-0.015686,"-0.015686
"
111,0.000244,-0.018066,1.087158,-0.015686,-0.015686,"-0.015686
"
112,0.008301,-0.035889,1.106445,-0.015686,-0.015686,"-0.015686
"
113,0.010742,-0.036133,1.088135,-0.015686,-0.015686,"-0.015686
"
114,0.001465,-0.036133,1.087891,-0.015686,-0.015686,"-0.015686
"
115,0.014160,-0.036621,1.087891,-0.015686,-0.015686,"-0.015686
"
116,0.009033,-0.038330,1.094727,-0.015686,-0.015686,"-0.015686
"
117,0.012207,-0.035889,1.096436,-0.015686,-0.015686,"-0.015686
"
118,0.010254,-0.037598,1.091553,-0.015686,-0.015686,"-0.015686
"
119,0.009277,-0.040527,1.083740,-0.015686,-0.015686,"-0.015686
"
120,0.011475,-0.039062,1.083740,-0.015686,-0.015686,"-0.015686
"
121,0.007324,-0.038818,1.096924,-0.015686,-0.015686,"-0.015686
"
122,0.012451,-0.034180,1.087891,-0.015686,-0.015686,"-0.015686
"
123,0.016602,-0.031006,1.079590,-0.015686,-0.015686,"-0.015686
"
124,0.014648,-0.037842,1.090576,-0.015686,-0.015686,"-0.015686
"
125,0.016357,-0.040527,1.089600,-0.015686,-0.015686,"-0.015686
"
126,0.015381,-0.040039,1.080322,-0.015686,-0.015686,"-0.015686
"
127,0.014404,-0.032959,1.090088,-0.015686,-0.015686,"-0.015686
"
128,0.011963,-0.036133,1.097900,-0.015686,-0.015686,"-0.015686
"
129,0.014404,-0.037354,1.101074,-0.015686,-0.015686,"-0.015686
"
130,0.017090,-0.031006,1.090088,-0.015686,-0.015686,"-0.015686
"
131,0.010742,-0.039551,1.083252,-0.015686,-0.015686,"-0.015686
"
132,0.008789,-0.038818,1.092773,-0.015686,-0.015686,"-0.015686
"
133,0.011475,-0.036133,1.087402,-0.015686,-0.015686,"-0.015686
"
134,0.002930,-0.041504,1.087891,-0.015686,-0.015686,"-0.015686
"
