,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,R/G,µæÁ¡,È¨·±,µµ·ç,º¼³Ý%,»ïÁø%,BABIP,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA
95,2015,4,10,Hero,6.0,6,1,0,14.7,23.5,0.278,0.222,0.344,0.37,0.7140000000000001,0.32899999999999996
96,2015,4,10,SK,3.0,3,0,0,13.2,13.2,0.24,0.207,0.35100000000000003,0.207,0.5579999999999999,0.289
97,2015,4,10,ÇÑÈ­,9.0,9,1,0,6.0,24.0,0.39399999999999996,0.311,0.34700000000000003,0.444,0.7909999999999999,0.349
98,2015,4,10,KIA,3.0,3,1,0,10.6,27.7,0.34600000000000003,0.25,0.348,0.4,0.748,0.332
99,2015,4,10,µÎ»ê,2.0,2,0,2,14.3,14.3,0.2,0.16699999999999998,0.28600000000000003,0.2,0.486,0.245
100,2015,4,10,KT,0.0,0,0,0,0.0,48.5,0.313,0.156,0.182,0.156,0.33799999999999997,0.163
101,2015,4,10,NC,2.0,2,0,0,6.4,29.0,0.105,0.071,0.161,0.107,0.268,0.12300000000000001
102,2015,4,11,»ï¼º,5.0,5,2,2,13.5,18.9,0.348,0.313,0.405,0.563,0.968,0.42100000000000004
103,2015,4,11,µÎ»ê,9.0,9,1,2,8.7,8.7,0.306,0.3,0.37,0.475,0.845,0.374
104,2015,4,11,KT,6.0,6,0,1,11.4,13.6,0.32299999999999995,0.27,0.37200000000000005,0.35100000000000003,0.723,0.342
105,2015,4,11,ÇÑÈ­,4.0,4,2,2,7.9,15.8,0.231,0.235,0.297,0.441,0.738,0.32299999999999995
106,2015,4,11,NC,4.0,4,0,1,16.7,8.3,0.2,0.185,0.34299999999999997,0.185,0.528,0.265
107,2015,4,11,LG,6.0,6,2,1,5.3,13.2,0.308,0.303,0.37799999999999995,0.515,0.893,0.395
108,2015,4,11,Hero,4.0,4,0,0,7.9,31.6,0.391,0.257,0.316,0.257,0.573,0.275
109,2015,4,11,KIA,2.0,2,0,0,3.0,33.3,0.28600000000000003,0.188,0.212,0.21899999999999997,0.431,0.2
110,2015,4,11,SK,2.0,2,0,0,5.9,20.6,0.24,0.188,0.235,0.25,0.485,0.225
111,2015,4,11,·Ôµ¥,1.0,1,0,1,17.1,22.9,0.14300000000000002,0.10300000000000001,0.257,0.138,0.395,0.213
112,2015,4,12,·Ôµ¥,15.0,15,2,2,17.6,9.8,0.387,0.368,0.529,0.579,1.1079999999999999,0.495
113,2015,4,12,SK,11.0,11,2,0,6.8,13.6,0.29,0.289,0.364,0.579,0.943,0.401
114,2015,4,12,KIA,9.0,9,4,1,5.0,10.0,0.207,0.278,0.308,0.639,0.9470000000000001,0.38799999999999996
115,2015,4,12,LG,3.0,3,1,0,12.5,15.6,0.23800000000000002,0.222,0.32299999999999995,0.37,0.693,0.316
116,2015,4,12,KT,5.0,5,1,1,10.5,23.7,0.23800000000000002,0.19399999999999998,0.306,0.32299999999999995,0.629,0.294
117,2015,4,12,µÎ»ê,2.0,2,0,0,13.5,10.8,0.33299999999999996,0.29,0.389,0.387,0.7759999999999999,0.359
118,2015,4,12,»ï¼º,7.0,7,2,0,5.3,21.0,0.26899999999999996,0.25,0.289,0.528,0.8170000000000001,0.33899999999999997
119,2015,4,12,NC,8.0,8,2,0,7.7,25.6,0.292,0.25,0.308,0.47200000000000003,0.78,0.33899999999999997
120,2015,4,12,Hero,3.0,3,1,0,16.2,13.5,0.25,0.233,0.37799999999999995,0.33299999999999996,0.711,0.34
121,2015,4,12,ÇÑÈ­,3.0,3,3,0,8.6,31.4,0.111,0.156,0.22899999999999998,0.43799999999999994,0.667,0.282
122,2015,4,14,µÎ»ê,18.0,18,5,0,11.3,11.3,0.5,0.5,0.5579999999999999,1.0,1.558,0.634
123,2015,4,14,ÇÑÈ­,5.0,5,2,0,2.8,19.4,0.41700000000000004,0.364,0.4,0.727,1.127,0.48200000000000004
124,2015,4,14,·Ôµ¥,5.0,5,2,2,17.1,22.9,0.278,0.25,0.4,0.46399999999999997,0.8640000000000001,0.389
125,2015,4,14,»ï¼º,3.0,3,1,0,7.5,12.5,0.33299999999999996,0.306,0.359,0.41700000000000004,0.7759999999999999,0.341
126,2015,4,14,NC,4.0,4,0,2,9.8,31.7,0.391,0.25,0.341,0.33299999999999996,0.674,0.317
127,2015,4,14,KT,2.0,2,0,2,21.0,10.5,0.16699999999999998,0.14300000000000002,0.35100000000000003,0.179,0.53,0.28600000000000003
