,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
101,2015,4,10,ÇÑÈ­,1,0,0,0,16.88,5.06,1.69,3.33,0.23800000000000002,0.36,0.452,0.812,1.5,0.4,52.6,8.44,0.06,4.61,3.7,0.38
102,2015,4,11,ÇÑÈ­,1,1,0,0,8.0,6.0,0.0,1.33,0.10300000000000001,0.257,0.138,0.395,1.0,0.14300000000000002,88.9,0.0,0.57,3.89,3.89,0.2
103,2015,4,11,NC,1,1,0,0,7.0,2.0,0.0,3.50,0.188,0.235,0.25,0.485,0.89,0.24,75.0,2.0,0.55,2.78,2.68,0.41
104,2015,4,11,»ï¼º,1,1,0,0,11.0,1.0,0.0,11.00,0.188,0.212,0.21899999999999997,0.431,0.78,0.28600000000000003,71.4,2.0,0.43,1.56,0.97,0.5
105,2015,4,11,KT,1,1,0,0,12.0,3.0,0.0,4.00,0.257,0.316,0.257,0.573,1.33,0.391,66.7,4.0,0.39,2.0,1.41,0.38
106,2015,4,11,µÎ»ê,1,1,0,0,5.0,2.0,2.0,2.50,0.303,0.37799999999999995,0.515,0.894,1.33,0.308,71.4,5.0,0.15,6.78,7.04,-0.02
107,2015,4,11,SK,1,0,0,0,3.38,6.75,0.0,0.50,0.185,0.34299999999999997,0.185,0.528,1.38,0.2,66.7,2.25,0.13,5.17,5.73,0.01
108,2015,4,11,·Ôµ¥,1,1,0,0,6.0,3.0,2.0,2.00,0.235,0.297,0.441,0.738,1.22,0.231,85.4,4.0,0.21,6.23,6.3,-0.04
109,2015,4,11,KIA,1,0,0,0,7.88,5.62,2.25,1.40,0.312,0.405,0.562,0.968,1.88,0.348,82.0,5.62,0.02,7.05,7.05,-0.09
110,2015,4,11,Hero,1,0,0,0,6.0,5.0,0.0,1.20,0.27,0.37200000000000005,0.35100000000000003,0.723,1.67,0.32299999999999995,62.5,6.0,0.07,4.34,4.56,0.08
111,2015,4,11,LG,1,0,0,0,4.0,4.0,1.0,1.00,0.3,0.37,0.475,0.845,1.78,0.306,51.3,6.0,-0.14,5.89,6.29,0.01
112,2015,4,12,LG,1,0,0,0,4.0,5.0,0.0,0.80,0.29,0.389,0.387,0.7759999999999999,1.56,0.33299999999999996,85.7,2.0,0.41,4.45,4.83,0.07
113,2015,4,12,·Ôµ¥,1,1,0,0,11.0,3.0,3.0,3.67,0.156,0.22899999999999998,0.43799999999999994,0.6659999999999999,0.89,0.111,131.6,3.0,0.31,6.56,6.09,-0.03
114,2015,4,12,KT,1,0,0,0,5.0,6.0,1.0,0.83,0.233,0.37799999999999995,0.33299999999999996,0.7120000000000001,1.44,0.25,87.3,3.0,0.33,6.34,6.73,-0.09
115,2015,4,12,KIA,1,0,0,0,8.0,2.0,2.0,4.00,0.25,0.289,0.528,0.8170000000000001,1.22,0.26899999999999996,48.8,7.0,0.11,5.12,4.86,0.14
116,2015,4,12,SK,1,0,0,0,10.0,3.0,2.0,3.33,0.25,0.308,0.47200000000000003,0.78,1.33,0.292,43.5,8.0,-0.09,5.34,4.97,0.07
117,2015,4,12,µÎ»ê,1,1,0,0,5.62,4.5,1.12,1.25,0.222,0.32299999999999995,0.37,0.693,1.25,0.23800000000000002,81.4,3.38,0.56,5.55,5.73,0.22
118,2015,4,12,Hero,1,0,0,0,9.0,4.0,1.0,2.25,0.19399999999999998,0.306,0.32299999999999995,0.628,1.11,0.23800000000000002,62.5,5.0,0.1,4.78,4.63,0.03
119,2015,4,12,»ï¼º,1,0,0,0,4.0,2.0,4.0,2.00,0.278,0.308,0.639,0.9470000000000001,1.33,0.207,46.9,8.0,-0.18,9.23,9.48,-0.23
120,2015,4,12,NC,1,0,0,0,6.0,3.0,2.0,2.00,0.289,0.364,0.579,0.943,1.56,0.29,37.9,10.0,-0.15,6.89,7.09,-0.05
121,2015,4,12,ÇÑÈ­,1,0,0,0,5.62,10.12,2.25,0.56,0.368,0.529,0.579,1.1079999999999999,2.88,0.387,49.6,11.25,-0.56,10.55,11.31,-0.33
122,2015,4,14,µÎ»ê,1,0,0,0,4.0,8.0,0.0,0.50,0.14300000000000002,0.35100000000000003,0.179,0.53,1.33,0.16699999999999998,84.6,2.0,0.46,5.78,6.39,-0.04
123,2015,4,14,ÇÑÈ­,1,1,0,0,5.0,3.0,1.0,1.67,0.306,0.359,0.41700000000000004,0.7759999999999999,1.56,0.33299999999999996,87.3,3.0,0.39,4.67,4.79,0.09
124,2015,4,14,·Ôµ¥,1,1,0,0,13.0,4.0,0.0,3.25,0.25,0.341,0.33299999999999996,0.675,1.44,0.391,71.4,4.0,0.39,2.45,1.86,0.4
125,2015,4,14,NC,1,0,0,0,9.0,6.75,2.25,1.33,0.25,0.4,0.46399999999999997,0.8640000000000001,1.62,0.278,80.4,5.62,0.1,7.55,7.56,-0.06
126,2015,4,14,»ï¼º,1,0,0,0,7.88,1.12,2.25,7.00,0.364,0.4,0.727,1.127,1.62,0.41700000000000004,80.4,5.62,0.15,5.92,5.76,0.01
127,2015,4,14,KT,1,0,0,0,6.0,6.0,5.0,1.00,0.5,0.5579999999999999,1.0,1.558,3.11,0.5,50.0,18.0,-0.6,11.89,12.2,-0.31
128,2015,4,15,·Ôµ¥,1,0,0,0,8.0,4.0,0.0,2.00,0.1,0.20600000000000002,0.133,0.33899999999999997,0.78,0.136,100.0,0.0,0.61,3.23,3.12,0.18
129,2015,4,15,»ï¼º,1,1,0,0,7.0,1.0,0.0,7.00,0.25,0.289,0.306,0.595,1.11,0.31,72.7,3.0,0.31,2.78,2.69,0.31
130,2015,4,15,KIA,1,1,0,0,5.0,5.0,0.0,1.00,0.25,0.35100000000000003,0.375,0.726,1.44,0.29600000000000004,69.2,4.0,0.29,4.23,4.5,0.12
131,2015,4,15,Hero,1,0,0,0,11.0,2.0,2.0,5.50,0.257,0.297,0.457,0.754,1.22,0.318,85.4,4.0,0.26,4.78,4.25,0.17
132,2015,4,15,µÎ»ê,1,0,0,0,9.75,8.25,1.5,1.18,0.209,0.375,0.419,0.794,1.67,0.24100000000000002,82.4,4.5,0.33,6.42,6.36,-0.05
133,2015,4,15,SK,1,1,0,0,9.0,3.0,1.0,3.00,0.222,0.3,0.361,0.6609999999999999,1.22,0.26899999999999996,56.6,5.0,-0.05,4.12,3.86,0.19
134,2015,4,15,KT,1,0,0,0,6.0,7.5,0.0,0.80,0.267,0.414,0.311,0.725,1.83,0.316,70.8,5.25,0.28,5.09,5.44,0.08
135,2015,4,15,NC,1,0,0,0,10.12,6.75,1.12,1.50,0.276,0.4,0.44799999999999995,0.848,1.75,0.368,63.5,6.75,-0.02,5.3,5.11,0.02
136,2015,4,15,ÇÑÈ­,1,0,0,0,9.0,3.0,2.0,3.00,0.359,0.395,0.564,0.9590000000000001,1.89,0.414,63.4,8.0,-0.16,5.23,4.92,0.03
137,2015,4,15,LG,1,0,0,0,6.0,2.0,0.0,3.00,0.4,0.442,0.5,0.9420000000000001,2.0,0.47100000000000003,52.6,8.0,0.0,3.34,3.41,0.23
138,2015,4,16,SK,1,0,0,0,7.0,1.0,0.0,7.00,0.037000000000000005,0.10300000000000001,0.037000000000000005,0.14,0.22,0.05,100.0,0.0,0.55,2.78,2.69,0.15
139,2015,4,16,NC,1,1,0,0,7.0,5.0,2.0,1.40,0.19399999999999998,0.306,0.387,0.693,1.22,0.182,97.6,2.0,0.31,6.67,6.74,-0.06
140,2015,4,16,LG,1,0,0,0,9.0,6.0,0.0,1.50,0.37799999999999995,0.455,0.43200000000000005,0.887,2.22,0.483,75.0,4.0,0.12,3.67,3.56,0.24
