,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸¼ö,¾ÈÅ¸,´ÜÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,µæÁ¡,Å¸Á¡,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,Èñ»ýÇÃ¶óÀÌ,Èñ»ýÅ¸,º´»ì,µµ·ç,µµ½Ç,Å¸À²
307,2015,05,08,NC,1,36,30,8,5,1,0,2,4,4,5,0,1,8,0,0,1,1,0,0.267
308,2015,05,08,Hero,1,31,27,4,0,0,0,4,5,5,1,0,1,10,0,2,0,0,0,0.148
309,2015,05,08,LG,1,37,35,10,8,0,0,2,3,3,0,0,1,7,0,1,1,0,0,0.286
310,2015,05,08,·Ôµ¥,1,39,32,9,8,0,0,1,3,3,5,0,1,4,0,1,2,0,0,0.281
311,2015,05,08,SK,1,32,28,5,4,0,0,1,3,3,4,0,0,6,0,0,1,2,0,0.179
312,2015,05,08,KIA,1,38,32,9,6,3,0,0,4,2,4,0,0,10,1,2,0,2,0,0.281
313,2015,05,08,»ï¼º,1,32,30,3,3,0,0,0,0,0,2,0,0,9,0,0,0,1,0,0.100
314,2015,05,09,Hero,1,37,32,14,12,1,0,1,7,7,1,0,3,3,1,1,3,2,0,0.438
315,2015,05,09,NC,1,38,31,11,7,4,0,0,6,6,2,0,2,7,2,3,0,1,0,0.355
316,2015,05,09,KT,1,32,27,6,4,0,1,1,3,2,2,0,1,5,0,2,0,1,0,0.222
317,2015,05,09,KIA,1,38,36,9,8,0,0,1,5,5,1,0,1,12,0,0,0,1,0,0.250
318,2015,05,09,ÇÑÈ­,1,39,33,7,5,2,0,0,3,3,3,0,1,6,0,2,0,0,0,0.212
319,2015,05,09,µÎ»ê,1,34,31,6,4,1,0,1,4,3,1,0,0,8,1,2,0,0,0,0.194
320,2015,05,09,»ï¼º,1,35,31,6,4,2,0,0,3,3,2,0,0,6,1,2,0,1,0,0.194
321,2015,05,09,LG,1,40,34,10,7,3,0,0,2,2,6,0,0,13,0,0,1,0,0,0.294
322,2015,05,09,·Ôµ¥,1,32,30,6,3,1,0,2,3,3,2,0,0,6,0,0,2,0,0,0.200
323,2015,05,09,SK,1,29,29,3,1,1,0,1,1,1,0,0,0,7,0,0,1,0,0,0.103
324,2015,05,10,Hero,1,37,35,9,5,1,0,3,6,6,0,0,2,10,0,0,0,1,0,0.257
325,2015,05,10,KT,1,36,31,7,7,0,0,0,2,2,3,0,1,12,0,1,0,1,0,0.226
326,2015,05,10,µÎ»ê,1,40,31,11,8,2,0,1,6,5,6,0,0,6,2,3,0,1,0,0.355
327,2015,05,10,KIA,1,48,43,15,8,5,0,2,11,10,5,0,0,8,0,0,0,3,0,0.349
328,2015,05,10,NC,1,37,33,11,10,1,0,0,6,6,4,1,0,7,0,0,1,5,0,0.333
329,2015,05,10,SK,1,39,34,11,8,2,0,1,7,7,4,0,0,11,0,0,0,0,0,0.324
330,2015,05,10,LG,1,41,32,7,3,1,2,1,6,6,5,0,0,11,1,3,0,1,0,0.219
331,2015,05,10,·Ôµ¥,1,37,36,11,10,0,0,1,2,2,1,0,0,9,0,0,2,0,0,0.306
332,2015,05,10,ÇÑÈ­,1,32,32,7,6,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0.219
333,2015,05,10,»ï¼º,1,38,33,7,5,0,0,2,5,5,4,0,0,6,1,1,0,2,0,0.212
334,2015,05,12,Hero,1,40,36,10,5,3,1,1,4,4,3,0,1,9,0,0,0,0,0,0.278
335,2015,05,12,KT,1,33,25,1,1,0,0,0,2,1,5,0,1,10,0,1,1,0,0,0.040
336,2015,05,12,·Ôµ¥,1,37,32,11,7,4,0,0,5,5,3,0,0,6,0,2,1,0,0,0.344
337,2015,05,12,ÇÑÈ­,1,37,33,10,7,1,1,1,5,4,2,0,0,11,1,2,1,2,0,0.303
338,2015,05,12,KIA,1,32,29,5,4,1,0,0,3,3,3,0,0,7,0,0,0,1,0,0.172
339,2015,05,12,»ï¼º,1,43,36,12,10,1,0,1,4,4,7,1,0,7,0,0,2,0,0,0.333
340,2015,05,13,LG,1,39,35,13,8,2,2,1,6,5,3,0,1,10,0,0,1,0,0,0.371
